SubjID,MAD,ACC,betareg-ACC,RT,Composite,Age_Music_Onset,Tonal,Current_Age,Early,Group,RT(ms),AboveChance
OJ4710,0.065217391,0.895833333,0.895833333,3.453977489,34.76503429,5,0,33,Early,gAP,2952.270833,1
OM8081,2.634146341,0.145833333,0.145833333,3.532108605,44.62517701,8,0,62,Late,nAP,3577.395833,0
OP9793,1.894736842,0.104166667,0.104166667,3.586276193,42.65781156,5,0,62,Early,nAP,3956.520833,0
OQ7772,3.520833333,0.041666667,0.041666667,3.430900247,46.38863043,8,0,35,Late,nAP,2802.9375,0
OS2034,0,1,0.996710526,3.239760444,32.39760444,8,0,41,Late,gAP,1793.9375,1
OW2819,3.4375,0.041666667,0.041666667,3.598977661,48.36126232,5,0,76,Early,nAP,4074.229167,0
PM9253,2.926829268,0.020833333,0.020833333,3.562808588,46.05581833,10,0,43,Late,nAP,3764.541667,0
PN5238,1.083333333,0.166666667,0.166666667,3.629045535,40.22192135,5,0,36,Early,nAP,4358,0
PO7261,0.234042553,0.75,0.75,3.308347264,33.85776668,5,0,22,Early,pAP,2200.083333,1
PV1363,1,0.145833333,0.145833333,3.43395754,37.77353294,5,0,57,Early,nAP,2886.1875,0
PW4943,1,0.229166667,0.229166667,3.502710301,38.52981331,6,0,62,Early,pAP,3372.875,1
QA2015,2.739130435,0.0625,0.0625,3.478925035,44.31847979,8,0,30,Late,nAP,3145.270833,0
QA9155,1.564102564,0.229166667,0.229166667,3.496773447,40.43704678,5,1,40,Early,nAP,3393.916667,1
QE4961,2.904761905,0.104166667,0.104166667,3.545259935,45.75073536,6,0,54,Early,nAP,3606.8125,0
QK2819,3.512195122,0.020833333,0.020833333,3.515788687,47.50602275,10,0,56,Late,nAP,3469.854167,0
QO9582,0.681818182,0.604166667,0.604166667,3.392770623,36.24095893,5,1,20,Early,pAP,2704.604167,1
QP1047,0.104166667,0.979166667,0.979166667,3.286787828,33.21025201,10,0,19,Late,gAP,2051.875,1
RB6562,0.236842105,0.604166667,0.604166667,3.446051889,35.27668907,6,1,20,Early,pAP,3035.666667,1
RD2243,0.194444444,0.604166667,0.604166667,3.515337771,35.83691561,5,0,21,Early,pAP,3537.458333,1
RH6197,0.142857143,0.833333333,0.833333333,3.54877908,35.99475924,3,0,6,Early,pAP,3640.395833,1
RL4936,0.020833333,0.979166667,0.979166667,3.365590352,33.72601999,6,1,28,Early,gAP,2400.666667,1
RM1561,0,0.979166667,0.979166667,3.218743402,32.18743402,5,1,26,Early,gAP,1781.166667,1
RM1607,0.069767442,0.833333333,0.833333333,3.345384603,33.68724496,2,0,17,Early,gAP,2408.729167,1
RN6768,0.23255814,0.6875,0.6875,3.40759076,34.86837056,6,1,40,Early,pAP,2757.916667,1
RT3046,0.704545455,0.5,0.5,3.25444792,34.83738569,3,1,20,Early,pAP,2111,1
RW6783,0,1,0.996710526,3.24829143,32.4829143,10,0,21,Late,gAP,1839.166667,1
RY2721,0,1,0.996710526,3.184565519,31.84565519,6,0,19,Early,gAP,1602.916667,1
RZ6968,3.047619048,0.0625,0.0625,3.326416353,43.40181337,8,0,20,Late,nAP,2616.208333,0
SE2708,2.622222222,0.125,0.125,3.513312577,44.34581208,12,0,29,Late,nAP,3389.25,0
ST1232,3.15625,0.020833333,0.020833333,3.614215266,47.54951959,8,0,44,Late,nAP,4203.645833,0
SX8239,2.581395349,0.145833333,0.145833333,3.523359701,44.32878135,13,0,18,Late,nAP,3448.0625,0
TB7309,2.511627907,0.125,0.125,3.466185944,43.36762879,18,0,55,Late,nAP,3181.6875,0
TD4590,3.553191489,0.083333333,0.083333333,3.447464397,46.72414513,5,0,19,Early,nAP,2981.020833,0
TE7770,2.888888889,0.0625,0.0625,3.565541968,45.95587425,6,1,65,Early,nAP,3782.1875,0
TJ7875,0.391304348,0.8125,0.8125,3.320836768,34.50782554,5,0,19,Early,gAP,2245.333333,1
TO7272,2.869565217,0.125,0.125,3.346135622,43.06331061,10,1,30,Late,nAP,2349.041667,0
TT6656,0,0.958333333,0.958333333,3.349617993,33.49617993,5,0,17,Early,gAP,2359.041667,1
TW5592,3,0.020833333,0.020833333,3.550675364,46.15877973,13,0,41,Late,nAP,3726.5625,0
TZ1423,0.268292683,0.645833333,0.645833333,3.522221155,36.16719771,3,0,27,Early,pAP,3525.958333,1
UB9524,2.361111111,0.083333333,0.083333333,3.568788362,44.11418948,13,0,22,Late,nAP,3861.916667,0
UC1026,2.689655172,0.0625,0.0625,3.62353212,45.98137311,6,0,67,Early,nAP,4296.354167,0
UC1203,3.064516129,0.020833333,0.020833333,3.646724286,47.64268825,5,0,42,Early,nAP,4475.083333,0
UF4485,2.904761905,0.041666667,0.041666667,3.529561648,45.54815269,10,0,60,Late,nAP,3527.833333,0
UG6084,2.696969697,0.125,0.125,3.625262207,46.02984438,8,0,51,Late,nAP,4278.375,0
UG9436,0.021276596,0.958333333,0.958333333,3.2243058,32.31166025,8,0,29,Late,gAP,1817.166667,1
UJ2603,0.333333333,0.5625,0.5625,3.464857612,35.80352866,6,0,27,Early,pAP,3112.020833,1
UR9988,0.711111111,0.395833333,0.395833333,3.439102322,36.8366071,5,0,57,Early,pAP,2932.708333,1
UV8018,2.794871795,0.104166667,0.104166667,3.517592942,45.00715072,10,0,56,Late,nAP,3438.854167,0
UW6424,0,0.958333333,0.958333333,3.321287519,33.21287519,7,1,28,Late,gAP,2210.541667,1
VA2007,0.108695652,0.9375,0.9375,3.415745151,34.52872815,6,0,26,Early,gAP,2742.895833,1
VD1511,2.666666667,0.104166667,0.104166667,3.569628933,45.21529982,20,1,70,Late,nAP,3833.5625,0
VD6892,0.8,0.458333333,0.458333333,3.445474986,37.21112985,6,0,29,Early,pAP,2948.4375,1
VJ1861,2.4375,0.0625,0.0625,3.56479099,44.33708794,20,0,26,Late,nAP,3805.916667,0
VL1533,0,1,0.996710526,3.314111425,33.14111425,7,0,27,Late,gAP,2177.895833,1
VS3823,0.456521739,0.666666667,0.666666667,3.252453719,34.00935301,7,0,25,Late,pAP,2146.75,1
WC6632,0.14893617,0.833333333,0.833333333,3.417199725,34.68094189,5,0,22,Early,gAP,2842,1
WD8869,0,0.958333333,0.958333333,3.408122162,34.08122162,6,1,20,Early,gAP,2661.416667,1
WS7893,3.382978723,0.0625,0.0625,3.432439904,45.93627021,5,0,43,Early,nAP,2840.583333,0
WU3995,2.941176471,0.041666667,0.041666667,3.593672798,46.50635386,8,0,24,Late,nAP,4036.145833,0
XE3168,0.142857143,0.5,0.5,3.480485706,35.3020693,4,0,22,Early,pAP,3405.145833,1
XG8051,2.720930233,0.125,0.125,3.451987256,43.91248904,10,0,39,Late,nAP,3122.1875,0
XL6778,0,0.979166667,0.979166667,3.478621988,34.78621988,3,0,18,Early,gAP,3094.708333,1
XR3572,3.052631579,0.0625,0.0625,3.548808145,46.32128526,4,0,17,Early,nAP,3667.708333,0
XV6442,0.212765957,0.770833333,0.770833333,3.401713684,34.74090571,8,1,27,Late,pAP,2675.895833,1
YD8138,0.833333333,0.416666667,0.416666667,3.48659837,37.77148234,6,0,40,Early,pAP,3347.541667,1
YK3789,0.045454545,0.895833333,0.895833333,3.405302795,34.20781445,7,1,23,Late,gAP,2710.3125,1
YS3297,0.5,0.416666667,0.416666667,3.575106122,37.53861428,14,0,18,Late,pAP,4017.0625,1
YY9243,2.648648649,0.125,0.125,3.548626769,44.88533319,9,0,36,Late,nAP,3704.625,0
ZK9822,1.276595745,0.708333333,0.708333333,3.327317719,37.52081683,3,0,36,Early,pAP,2262.166667,1
ZO5951,0.391304348,0.583333333,0.583333333,3.34468262,34.75561506,4,0,22,Early,pAP,2339.8125,1
ZT8183,2.295454545,0.1875,0.1875,3.512825007,43.1917802,8,0,56,Late,nAP,3393.4375,1
ZY2209,0,0.916666667,0.916666667,3.475051695,34.75051695,5,0,19,Early,gAP,3247.166667,1
