prevalence,pcurve_expectation,pcurve_hdi_low,pcurve_hdi_high,pcurve_map,binom_expectation,binom_hdi_low,binom_hdi_high,binom_map,sigma,seed
0.4,0.6992570728966193,0.37629145899888794,0.9997517476736172,0.8280947130320719,0.473953265353229,0.10323137450451493,0.9398642519730908,0.4564626928561947,0.01,844
0.4,0.43732190501229745,0.002504223305246382,0.9261415015802555,0.9999980420812745,0.34094984672797457,0.00011096931276263372,0.8806626352294225,0.2685378864515848,0.02,844
0.4,0.5796493734157115,0.23248416138673003,0.9981704265642241,0.6303023053268407,0.473953265353229,0.10323137450451493,0.9398642519730908,0.4564626928561947,0.03,844
0.4,0.4271504425247713,0.010353638167297759,0.8907190131868595,0.3886972245032682,0.4107091551128974,0.03528350159959929,0.9281607862542194,0.3732950182773561,0.04,844
0.4,0.594520917306704,0.20023387235424225,0.9991257888791213,0.9033223404059829,0.4107091551128974,0.03528350159959929,0.9281607862542194,0.3732950182773561,0.05,844
0.4,0.3718523901722037,0.0008298411484439226,0.8864040409953563,0.999994632559893,0.3774588208221488,0.0035210568778108148,0.9030380001100995,0.3252375513643061,0.060000000000000005,844
0.4,0.4353000938113483,0.10735046792844934,0.8254990238230387,0.37179769098988974,0.473953265353229,0.10323137450451493,0.9398642519730908,0.4564626928561947,0.06999999999999999,844
0.4,0.4634659392042362,0.07267514548134321,0.9449185931911631,0.46011732041158604,0.4107091551128974,0.03528350159959929,0.9281607862542194,0.3732950182773561,0.08,844
0.4,0.2887187161973784,0.01904186568394818,0.6550533540402583,0.2112460618281119,0.4107091551128974,0.03528350159959929,0.9281607862542194,0.3732950182773561,0.09,844
0.4,0.2829080086736468,0.03399741593725751,0.6433120827027364,0.19914837511511815,0.4107091551128974,0.03528350159959929,0.9281607862542194,0.3732950182773561,0.09999999999999999,844
0.4,0.471145681405984,0.12010733693558917,0.9043851106013902,0.440209705375792,0.4483799433938783,0.0656059458303956,0.9315337940583419,0.41598630013099697,0.11,844
0.4,0.46949999853753654,0.1763424704170912,0.7586525101751563,0.4448599876457156,0.5149091008257743,0.16955805845715238,0.9826524759250901,0.4916359336631365,0.12,844
0.4,0.24882643532799312,0.06125577726862857,0.45451415181898375,0.20735169566005343,0.4483799433938783,0.0656059458303956,0.9315337940583419,0.41598630013099697,0.13,844
0.4,0.5005860134215873,0.1899252153063343,0.8361140306632261,0.47801598325842315,0.5149091008257743,0.16955805845715238,0.9826524759250901,0.4916359336631365,0.14,844
0.4,0.2926478064975664,0.07100689659966473,0.5377654655378178,0.23862317680673972,0.473953265353229,0.10323137450451493,0.9398642519730908,0.4564626928561947,0.15000000000000002,844
0.4,0.2869323556191224,0.06833469735106962,0.5117670147408424,0.24288176800585298,0.473953265353229,0.10323137450451493,0.9398642519730908,0.4564626928561947,0.16,844
0.4,0.33081248380206796,0.06559090722598596,0.7370185820943926,0.2293882199786522,0.4483799433938783,0.0656059458303956,0.9315337940583419,0.41598630013099697,0.17,844
0.4,0.33082641493948234,0.12235507284940027,0.5541393987438036,0.3029526326867576,0.5149091008257743,0.16955805845715238,0.9826524759250901,0.4916359336631365,0.18000000000000002,844
0.4,0.22801158336511862,0.04240829761447384,0.44704545396261935,0.18392702106255862,0.4107091551128974,0.03528350159959929,0.9281607862542194,0.3732950182773561,0.19,844
0.4,0.269108774651791,0.058202668382982076,0.5282392222348348,0.21176343204680106,0.4483799433938783,0.0656059458303956,0.9315337940583419,0.41598630013099697,0.2,844
