prevalence,pcurve_expectation,pcurve_hdi_low,pcurve_hdi_high,pcurve_map,binom_expectation,binom_hdi_low,binom_hdi_high,binom_map,sigma,seed
0.4,0.28971644137931923,0.035073987969433756,0.5776248581758052,0.23583856468202075,0.473953265353229,0.10323137450451493,0.9398642519730908,0.4564626928561947,0.01,302
0.4,0.40289008993005226,0.14918511983573535,0.6780506490972773,0.3776233242660558,0.5443753354888007,0.21579898644704792,0.9982169697621086,0.5242218062801517,0.02,302
0.4,0.5871093828551807,0.33484927302341067,0.8358249271355056,0.5976762630845722,0.5945940015098218,0.2803698316051594,0.9934386217711054,0.583603862151789,0.03,302
0.4,0.2651570802310264,0.0008747033005909646,0.6243525233363394,0.19812306045859512,0.4483799433938783,0.0656059458303956,0.9315337940583419,0.41598630013099697,0.04,302
0.4,0.422286041973737,0.11947839704105791,0.7153099003406201,0.406396996175472,0.5149091008257743,0.16955805845715238,0.9826524759250901,0.4916359336631365,0.05,302
0.4,0.34565432473768,0.01506181604502461,0.7469584893354643,0.2761686094726974,0.4107091551128974,0.03528350159959929,0.9281607862542194,0.3732950182773561,0.060000000000000005,302
0.4,0.4123208242244138,0.1300593577041422,0.7136286306647166,0.396212266574332,0.5443753354888007,0.21579898644704792,0.9982169697621086,0.5242218062801517,0.06999999999999999,302
0.4,0.3676302821504043,0.08922847786374066,0.6628772479463306,0.35508325898207843,0.473953265353229,0.10323137450451493,0.9398642519730908,0.4564626928561947,0.08,302
0.4,0.49133814649202234,0.28465343548356886,0.7110345166309063,,0.5945940015098218,0.2803698316051594,0.9934386217711054,0.583603862151789,0.09,302
0.4,0.2937509178850397,0.0025364129639687434,0.7128239911284886,0.21421508934180974,0.4483799433938783,0.0656059458303956,0.9315337940583419,0.41598630013099697,0.09999999999999999,302
0.4,0.3504101831652772,0.004807000701743686,0.7760599080382604,0.2780262118985281,0.3774588208221488,0.0035210568778108148,0.9030380001100995,0.3252375513643061,0.11,302
0.4,0.49133814649202234,0.28465343548356886,0.7110345166309063,,0.5149091008257743,0.16955805845715238,0.9826524759250901,0.4916359336631365,0.12,302
0.4,0.2348510724857655,2.7150767219054552e-05,0.6914285156155052,0.12924180162328816,0.3774588208221488,0.0035210568778108148,0.9030380001100995,0.3252375513643061,0.13,302
0.4,0.49133814649202234,0.28465343548356886,0.7110345166309063,,0.4483799433938783,0.0656059458303956,0.9315337940583419,0.41598630013099697,0.14,302
0.4,0.49133814649202234,0.28465343548356886,0.7110345166309063,,0.34094984672797457,0.00011096931276263372,0.8806626352294225,0.2685378864515848,0.15000000000000002,302
0.4,0.40303191785253284,0.14000347289599258,0.7027719688237553,0.3771597228718847,0.5149091008257743,0.16955805845715238,0.9826524759250901,0.4916359336631365,0.16,302
0.4,0.28293229609722537,0.00010061605653012716,0.7783957014863896,0.1686657392147512,0.34094984672797457,0.00011096931276263372,0.8806626352294225,0.2685378864515848,0.17,302
0.4,0.37792381447548135,0.1086319127961847,0.6360161658201603,0.3704949205150908,0.473953265353229,0.10323137450451493,0.9398642519730908,0.4564626928561947,0.18000000000000002,302
0.4,0.335235993171882,0.10369737337386008,0.5723212441632431,0.32018075251642225,0.5149091008257743,0.16955805845715238,0.9826524759250901,0.4916359336631365,0.19,302
0.4,0.25362759471164226,0.0016396192825500024,0.6495107861051329,0.16561580318742225,0.3774588208221488,0.0035210568778108148,0.9030380001100995,0.3252375513643061,0.2,302
