prevalence,pcurve_expectation,pcurve_hdi_low,pcurve_hdi_high,pcurve_map,binom_expectation,binom_hdi_low,binom_hdi_high,binom_map
0.961,0.8914672469511241,0.7102987191773596,0.9999756137139186,0.9999998500903677,0.6387247087121295,0.3533541073831425,0.9954915487591274,0.6230317926167029
0.961,0.9395522363348863,0.8440077454494062,0.99995411121135,0.999999985688705,0.6714126609008948,0.3956209812479156,0.9998329818059636,0.6560208287610936
0.961,0.9295660550147296,0.8176535910555538,0.9999627432846283,0.9999999667625941,0.6967949526200183,0.43596588809731623,0.9976738408008198,0.6880010140600246
0.961,0.814221989506207,0.6488657470968373,0.9794018601426088,0.8355360613865075,0.712344886298914,0.45695182913931187,0.9982824522154573,0.7036558803969366
0.961,0.956323015330829,0.8896385915897583,0.9999694300581926,0.9868145388345322,0.859944372677481,0.7051665499596481,0.9995680381046539,0.8755022021453881
0.961,0.9100575905010926,0.7868392889033647,0.9999796372219714,0.9610927743163887,0.6387247087121295,0.3533541073831425,0.9954915487591274,0.6230317926167029
0.961,0.9556104335669777,0.8800262772080537,0.9999769376376554,0.9999992341557701,0.8000936136676715,0.6001454956914498,0.9999245593903493,0.8076582637366663
0.961,0.9217558695960635,0.8146668899308056,0.9998903580035992,0.967143783218178,0.7235551462584792,0.47711603612804004,0.9999293505132902,0.719103085149932
0.961,0.9270513606730756,0.8268612437125229,0.9999780042053763,0.9688105144180904,0.8000936136676715,0.6001454956914498,0.9999245593903493,0.8076582637366663
0.961,0.945131982189712,0.8475620087417193,0.9999549838014636,0.9999986725837965,0.7788781228406364,0.5615379085084229,0.999193177123339,0.7789278879263373
0.961,0.8942100652605149,0.7711086026089897,0.9999333150502627,0.9318198496918096,0.712344886298914,0.45695182913931187,0.9982824522154573,0.7036558803969366
0.961,0.9159615984153908,0.8120195131101522,0.999946043321451,0.9467248050620471,0.8343648107521103,0.655992821433601,0.9996004868222004,0.8491154418605046
0.961,0.9438769444020428,0.8417493200104795,0.9999644259512205,0.9999999776154299,0.759475500546815,0.540544082259038,0.9993116198938428,0.7642625000714655
0.961,0.955212259807836,0.8744705885793741,0.999962427780331,0.9999999946084441,0.7382972198104535,0.5002633373551537,0.9989969479984099,0.7343504936780894
0.961,0.8496080994248576,0.6971022570422731,0.9981449997658475,0.8806088478066568,0.6537507014150655,0.37614213269922736,0.9996877393933083,0.6396627456946575
0.961,0.9431258690035109,0.8394498635779659,0.9999679178038813,0.9999999883303307,0.6967949526200183,0.43596588809731623,0.9976738408008198,0.6880010140600246
0.961,0.8811192661138524,0.7485563419745622,0.9994818288348433,0.915512107696539,0.7883175107228564,0.5791941290256902,0.9953171048987286,0.7933953492756363
0.961,0.9317497467408224,0.8125742104826699,0.99993353763781,0.9999999870276037,0.7482348117327003,0.5140986952657293,0.9996246026993275,0.7494028196628986
0.961,0.8771968091168155,0.7274228811180183,0.9998147727069251,0.9242916075459342,0.7382972198104535,0.5002633373551537,0.9989969479984099,0.7343504936780894
0.961,0.9219292974080241,0.81708656035201,0.999918205556442,0.9603410261092515,0.7382972198104535,0.5002633373551537,0.9989969479984099,0.7343504936780894
0.961,0.9018705945065987,0.7615434495465723,0.999890140611436,0.9698359829568697,0.6537507014150655,0.37614213269922736,0.9996877393933083,0.6396627456946575
0.961,0.9262137855186993,0.8360571658268646,0.9999033643003278,0.9546822036402438,0.8152481594874038,0.6270107063100323,0.9999782798544411,0.8217073303759862
