prevalence,pcurve_expectation,pcurve_hdi_low,pcurve_hdi_high,pcurve_map,binom_expectation,binom_hdi_low,binom_hdi_high,binom_map
0.5822,0.6791826604976176,0.5352775360249548,0.809290893334895,0.687207873928937,0.7689373891104498,0.5572607833054106,0.9995884007020408,0.7712336251328857
0.5822,0.6528630866103844,0.5289418417951611,0.7820568796107709,0.6573326517911185,0.7935287174141921,0.5915157944459293,0.9998731007032743,0.7956611945875293
0.5822,0.5464034610725098,0.4077285907447181,0.688461168618995,0.5478927483485762,0.7257303133314856,0.48339131906615146,0.9988306471586337,0.7207173765527681
0.5822,0.6480026939590829,0.5171099510022047,0.7819768724383891,0.6528412563463575,0.7856939700196999,0.5775803829018002,0.9997078545479491,0.7835182017516442
0.5822,0.6552252592292589,0.5271808623149115,0.7773711923925258,0.6596632807603996,0.7856939700196999,0.5775803829018002,0.9997078545479491,0.7835182017516442
0.5822,0.6984386053946062,0.5757950276555821,0.8339031064623977,0.7045756246355854,0.7935287174141921,0.5915157944459293,0.9998731007032743,0.7956611945875293
0.5822,0.5497915759381458,0.41991625610548367,0.6877171973951832,0.549849258599776,0.7257303133314856,0.48339131906615146,0.9988306471586337,0.7207173765527681
0.5822,0.5441137145679994,0.4072615046059319,0.6779531528918301,0.5440484632706948,0.7257303133314856,0.48339131906615146,0.9988306471586337,0.7207173765527681
0.5822,0.6412195677756037,0.5071889109455271,0.773836677808424,0.6453547266525996,0.7689373891104498,0.5572607833054106,0.9995884007020408,0.7712336251328857
0.5822,0.6371957627359977,0.5026291304313288,0.7645978118836259,0.6410698956593714,0.7583842182753625,0.5420145517925821,0.9998257692266244,0.7588104249133111
0.5822,0.6736357317336177,0.5492602169473408,0.7986585418444528,0.6778331474339089,0.7935287174141921,0.5915157944459293,0.9998731007032743,0.7956611945875293
0.5822,0.6356234542857204,0.5017318547943511,0.7581314019587717,0.6413023022787703,0.7856939700196999,0.5775803829018002,0.9997078545479491,0.7835182017516442
0.5822,0.49081448798386756,0.3454761722307476,0.6364058045971551,0.48899230860762954,0.6784398267967877,0.40758868353926037,0.998753303816309,0.6543109451443319
0.5822,0.533849998337754,0.396953656605041,0.6757050924719341,0.5340145938980304,0.700845418810226,0.4466452611769059,0.9893901960605443,0.6946184832002865
0.5822,0.49133814649202234,0.28465343548356886,0.7110345166309063,,0.700845418810226,0.4466452611769059,0.9893901960605443,0.6946184832002865
0.5822,0.6150492858009562,0.4780218917119895,0.751034786915122,0.617198826689243,0.7583842182753625,0.5420145517925821,0.9998257692266244,0.7588104249133111
0.5822,0.6140673231778031,0.4797539396697437,0.7525092313962198,0.6151618182297417,0.7583842182753625,0.5420145517925821,0.9998257692266244,0.7588104249133111
0.5822,0.7486767360683251,0.6187464171258781,0.8624521840858297,0.7566402174799587,0.8301898123791926,0.662818455056554,0.9994786425234977,0.8427115820281972
0.5822,0.5450814346730778,0.4111183655141504,0.6849014551437713,0.5458199181956688,0.7138241963028482,0.4677621362396695,0.9991049762799861,0.70774069052328
0.5822,0.6391453557584006,0.49159103519271236,0.7747431250819817,0.6451135721771519,0.7512862454988074,0.5276349103331582,0.999979947730434,0.7462499966149481
0.5822,0.7103516673741207,0.5714327252294837,0.8590766529174708,0.7199253955932069,0.7689373891104498,0.5572607833054106,0.9995884007020408,0.7712336251328857
0.5822,0.5495181786461005,0.41570790254463796,0.6811521944475518,0.5509922958085656,0.7257303133314856,0.48339131906615146,0.9988306471586337,0.7207173765527681
0.5822,0.549480984007824,0.4084593637248367,0.694565803603754,0.5501355549673733,0.7138241963028482,0.4677621362396695,0.9991049762799861,0.70774069052328
0.5822,0.5773856819059484,0.43112658460714426,0.7184662141542841,0.581228146217248,0.739439658943905,0.5090472986016586,0.998524216058471,0.733552889841237
0.5822,0.444754409654648,0.3052675289971377,0.5874631495756576,0.4407143869705068,0.6670826573731553,0.3836901848833868,0.9988914418125904,0.6405302865388149
0.5822,0.6513712456466566,0.5058491762166073,0.7879541475157018,0.6583774829740094,0.7689373891104498,0.5572607833054106,0.9995884007020408,0.7712336251328857
0.5822,0.5756629904179374,0.4146694572601209,0.7327747555585639,0.5767145337183176,0.700845418810226,0.4466452611769059,0.9893901960605443,0.6946184832002865
0.5822,0.6658534876349814,0.5369176836552954,0.7997065267251542,0.6718013585795892,0.7856939700196999,0.5775803829018002,0.9997078545479491,0.7835182017516442
0.5822,0.4120611604309625,0.2374183801002541,0.592553565675986,0.39967635733525214,0.5806292459668362,0.28291072543034823,0.9972625744055498,0.5547452702428283
0.5822,0.6496119887703502,0.5143669980352581,0.7869656262368286,0.6537871836038064,0.7689373891104498,0.5572607833054106,0.9995884007020408,0.7712336251328857
0.5822,0.6319379087383743,0.49910490647718697,0.7748995745567853,0.6353206019005256,0.7583842182753625,0.5420145517925821,0.9998257692266244,0.7588104249133111
0.5822,0.650503017135569,0.5164714868425575,0.7779061742781872,0.6552836011167154,0.7856939700196999,0.5775803829018002,0.9997078545479491,0.7835182017516442
0.5822,0.6456323928041892,0.5022326591384326,0.7770811505888163,0.6492937851422896,0.7689373891104498,0.5572607833054106,0.9995884007020408,0.7712336251328857
0.5822,0.6281899556659675,0.49014985868817484,0.7650061400220078,0.6321435640896523,0.7512862454988074,0.5276349103331582,0.999979947730434,0.7462499966149481
0.5822,0.7059306272480178,0.5730483084230559,0.8366344337816632,0.7138540444461337,0.7935287174141921,0.5915157944459293,0.9998731007032743,0.7956611945875293
